年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,229132.000000,629.000000,-,5699.000000,352.000000,50906.000000,40603.000000,4251.000000,2398.000000,191.000000,24720.000000,897.000000,30680.000000,37924.000000,25212.000000,981.000000,3662.000000,-,-,26.000000,1.000000,-,-
1999,-,239034.000000,351.000000,-,9411.000000,366.000000,55164.000000,41141.000000,4607.000000,3160.000000,886.000000,23984.000000,960.000000,35212.000000,38420.000000,22953.000000,848.000000,1514.000000,-,-,56.000000,1.000000,-,-
2000,-,228119.000000,462.000000,-,8505.000000,456.000000,47137.000000,34764.000000,4008.000000,3326.000000,1663.000000,24114.000000,720.000000,35865.000000,41124.000000,23918.000000,929.000000,1102.000000,-,-,25.000000,1.000000,-,-
2001,286037.000000,286020.000000,288.000000,-,8371.000000,417.000000,52765.000000,54171.000000,4991.000000,2323.000000,133.000000,27545.000000,596.000000,56970.000000,50622.000000,24930.000000,868.000000,980.000000,-,-,49.000000,1.000000,17.000000,-
2002,317952.000000,317937.000000,390.000000,-,7613.000000,439.000000,68078.000000,57235.000000,7545.000000,2224.000000,129.000000,25240.000000,507.000000,59973.000000,51733.000000,32990.000000,647.000000,3147.000000,-,-,46.000000,1.000000,15.000000,-
2003,330368.000000,330348.000000,82.000000,-,7063.000000,349.000000,75182.000000,52770.000000,3712.000000,1943.000000,133.000000,28862.000000,391.000000,61895.000000,51293.000000,41314.000000,443.000000,4871.000000,-,-,44.000000,1.000000,20.000000,-
2004,289013.000000,288953.000000,798.000000,-,6452.000000,238.000000,70233.000000,45735.000000,2520.000000,1235.000000,92.000000,27861.000000,338.000000,39807.000000,54546.000000,35135.000000,909.000000,3033.000000,-,-,20.000000,1.000000,60.000000,-
2005,272352.000000,272270.000000,154.248000,-,6152.233000,107.892000,67579.793000,37186.221000,2423.941000,925.004000,102.715000,28207.750000,321.380000,35209.732000,53077.816000,35401.425000,1068.539000,4307.711000,-,-,43.600000,-,82.000000,-
2006,281710.270200,281575.270200,234.170000,-,6112.657000,10.030000,62677.024000,35647.902000,5207.502000,989.700000,132.161000,23959.250000,151.787000,57748.405200,51258.289000,30147.747000,731.727000,6528.619000,-,-,38.300000,-,135.000000,-
2007,289979.630000,289828.630000,79.342000,-,5817.897000,9.488000,60289.993000,45635.459000,7444.222000,2820.715000,89.492000,24164.000000,173.850000,48330.139000,51673.240000,34556.522000,477.691000,8221.380000,-,-,45.200000,-,151.000000,-
2008,293056.890000,292940.110000,85.430000,-,4799.980000,8.720000,55082.360000,44255.000000,6479.000000,2761.920000,172.780000,23507.980000,161.910000,68120.170000,47034.000000,35338.010000,374.350000,4738.800000,-,-,19.700000,-,116.780000,-
2009,255113.698000,254980.438000,502.000000,-,2911.000000,7.389000,50052.877000,41630.818000,3534.335000,1662.255000,144.547000,23113.690000,121.950000,61433.257000,38342.000000,27347.000000,393.180000,3772.640000,-,-,11.500000,-,133.260000,-
2010,274286.027000,274214.547000,71.440000,-,1980.860000,21.637000,55882.899000,31967.403000,4338.242000,4821.710000,319.959000,23849.280000,81.100000,67502.266000,50788.660000,25252.886000,1214.185000,5875.920000,210.400000,-,35.700000,-,71.480000,-
2011,290659.688300,290636.483300,134.995000,-,1332.700000,6.190000,70351.244000,39035.963600,3466.595000,2804.300000,368.258700,21366.770000,68.995000,64560.212000,48165.038000,30340.726000,991.189000,7308.857000,318.050000,-,16.400000,-,23.205000,-
2012,317543.094890,317523.464890,228.190000,-,1602.093000,7.508000,87425.950000,41716.073890,3426.051000,2863.300000,370.132000,19294.150000,112.530000,56689.858000,57142.858000,38194.719000,674.826000,7556.166000,187.560000,-,31.500000,-,19.630000,-
2013,317246.351700,317221.841700,205.055000,-,1188.749000,7.428000,83233.056680,42609.732520,2887.673000,3145.300000,355.267000,18967.184000,124.195000,49412.794000,64286.317000,42654.467500,502.151000,7059.072000,532.500000,-,50.900000,-,24.510000,-
2014,312118.348590,312045.395590,122.968000,-,1069.310000,7.428000,84785.475200,35046.342380,3385.010000,5666.105000,323.033170,17634.700000,120.172000,51872.902040,65066.652000,39618.626000,120.085000,6851.286800,307.400000,-,47.900000,-,72.953000,-
