年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,960960.000000,23118.000000,14613.000000,65696.000000,61843.000000,137071.000000,76331.000000,39161.000000,19080.000000,22696.000000,94240.000000,20464.000000,115344.000000,80631.000000,95655.000000,22208.000000,50337.000000,10851.000000,768.000000,5709.000000,5144.000000,-,-
1999,-,960556.000000,23118.000000,12374.000000,65696.000000,61843.000000,137071.000000,76331.000000,39161.000000,19080.000000,22696.000000,94240.000000,20464.000000,115344.000000,80631.000000,95655.000000,22208.000000,50337.000000,12686.000000,768.000000,5709.000000,5144.000000,-,-
2000,-,960445.000000,23118.000000,12264.000000,65696.000000,61843.000000,137071.000000,76330.000000,39161.000000,19080.000000,22696.000000,94240.000000,20464.000000,115344.000000,80631.000000,95655.000000,22208.000000,50337.000000,12686.000000,768.000000,5709.000000,5144.000000,-,-
2001,-,960445.430000,23118.000000,12264.430000,65696.000000,61843.000000,137071.000000,76330.000000,39161.000000,19080.000000,22696.000000,94240.000000,20464.000000,115344.000000,80631.000000,95655.000000,22208.000000,50337.000000,12686.000000,768.000000,5709.000000,5144.000000,-,-
2002,-,963740.000000,23141.670000,14613.000000,65934.400000,61869.680000,137070.750000,76330.710000,39179.510000,19182.310000,22696.490000,94239.600000,20463.600000,115343.510000,80631.250000,95667.030000,22208.260000,50337.140000,12686.000000,767.890000,6233.640000,5143.560000,-,-
2003,-,960964.970000,23141.670000,11686.970000,66045.400000,61869.680000,137070.750000,76330.710000,39192.510000,19182.310000,22696.490000,94239.600000,20463.600000,115343.510000,80631.250000,95667.030000,22235.260000,50337.140000,12686.000000,767.890000,6233.640000,5143.560000,-,-
2004,-,961453.940000,23141.670000,12175.970000,66045.400000,61869.680000,137070.310000,76330.710000,39192.510000,19182.310000,22696.490000,94239.600000,20463.600000,115343.510000,80631.250000,95667.030000,22235.260000,50337.140000,12686.410000,767.890000,6233.640000,5143.560000,-,-
2005,-,962395.940000,23907.670000,12175.970000,66045.400000,61869.680000,137070.310000,76330.710000,39192.510000,19182.310000,22696.490000,94239.600000,20463.600000,115343.510000,80631.250000,95667.030000,22235.260000,50337.140000,12686.410000,767.890000,6233.640000,5319.560000,-,-
2006,-,962685.940000,23907.670000,12175.970000,66045.400000,62156.680000,137070.310000,76330.710000,39195.510000,19182.310000,22696.490000,94239.600000,20463.600000,115343.510000,80631.250000,95667.030000,22235.260000,50337.140000,12686.410000,767.890000,6233.640000,5319.560000,-,-
2007,-,962685.940000,23907.670000,12175.970000,66045.400000,62156.680000,137070.310000,76330.710000,39195.510000,19176.690000,22696.490000,94239.600000,20463.600000,115343.260000,80631.500000,95667.030000,22235.260000,50337.140000,12686.410000,767.890000,6239.260000,5319.560000,-,-
2008,-,962685.940000,23907.670000,12175.970000,66045.400000,62156.680000,137070.310000,76330.710000,39195.510000,19176.690000,22696.490000,94239.600000,20463.600000,115343.260000,80631.500000,95667.030000,22235.260000,50337.140000,12686.410000,767.890000,6239.260000,5319.560000,-,-
2009,-,962923.110000,23907.670000,12175.970000,66045.400000,62155.680000,137070.310000,76330.710000,39195.510000,19176.690000,22696.490000,94239.600000,20463.600000,115343.260000,80827.670000,95709.030000,22235.260000,50337.140000,12686.410000,767.890000,6239.260000,5319.560000,-,-
2010,981155.710000,963110.110000,23907.670000,12175.970000,66232.400000,62155.680000,137070.310000,76330.710000,39195.510000,19176.690000,22696.490000,94239.600000,20463.600000,115343.260000,80827.670000,95709.030000,22235.260000,50337.140000,12686.410000,767.890000,6239.260000,5319.560000,15165.600000,2880.000000
2011,981555.590000,963509.990000,24352.670000,12175.970000,66232.400000,62155.680000,137070.310000,76465.590000,39195.510000,19176.690000,22696.490000,94239.600000,20457.600000,115343.260000,81047.670000,95709.030000,22235.260000,49943.140000,12686.410000,767.890000,6239.260000,5319.560000,15165.600000,2880.000000
2012,981555.590000,963509.990000,24352.670000,12175.970000,66232.400000,62155.680000,137070.310000,76465.590000,39195.510000,19176.690000,22696.490000,94239.600000,20457.600000,115343.260000,81047.670000,95709.030000,22235.260000,49943.140000,12686.410000,767.890000,6239.260000,5319.560000,15165.600000,2880.000000
2013,982520.590000,964474.990000,24806.670000,14524.970000,66232.400000,62155.680000,137070.310000,76465.590000,39195.510000,19182.690000,22194.490000,94239.600000,20457.600000,115343.260000,81047.670000,94871.030000,22235.260000,49459.140000,12686.410000,767.890000,6219.260000,5319.560000,15165.600000,2880.000000
2014,981143.590000,963097.990000,24806.670000,14524.970000,66397.400000,62155.680000,137070.310000,76465.590000,39195.510000,19182.690000,22194.490000,94239.600000,20457.600000,115343.260000,81047.670000,94021.030000,22235.260000,48767.140000,12686.410000,767.890000,6219.260000,5319.560000,15165.600000,2880.000000
