年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,62310.000000,62199.000000,10230.000000,7514.000000,3042.000000,5535.000000,3820.000000,11660.000000,1759.000000,1674.000000,1592.000000,3158.000000,1462.000000,222.000000,1718.000000,2465.000000,758.000000,1457.000000,354.000000,920.000000,1569.000000,1290.000000,102.000000,9.000000
2006,66635.000000,66520.000000,10578.000000,5732.000000,5279.000000,5908.000000,4337.000000,12465.000000,1907.000000,1665.000000,1425.000000,3285.000000,1695.000000,1198.000000,1696.000000,2732.000000,746.000000,1662.000000,238.000000,1140.000000,1537.000000,1295.000000,95.000000,20.000000
2007,72606.000000,72499.000000,12236.000000,4662.000000,6671.000000,6100.000000,5134.000000,13490.000000,2099.000000,1901.000000,1333.000000,3677.000000,1972.000000,779.000000,1799.000000,2877.000000,1136.000000,1854.000000,344.000000,1536.000000,1689.000000,1210.000000,90.000000,17.000000
2008,79874.000000,79740.000000,12509.000000,10247.000000,6742.000000,7344.000000,5127.000000,12644.000000,1918.000000,1959.000000,1849.000000,3672.000000,2056.000000,1753.000000,1664.000000,2974.000000,1275.000000,1803.000000,264.000000,1355.000000,1447.000000,1138.000000,123.000000,11.000000
2009,89253.000000,89116.000000,13057.000000,11502.000000,8088.000000,9718.000000,5401.000000,13935.000000,1981.000000,2041.000000,2008.000000,4210.000000,2341.000000,2190.000000,1798.000000,3343.000000,1640.000000,1643.000000,205.000000,1327.000000,1480.000000,1208.000000,122.000000,15.000000
2010,105130.000000,105034.000000,14296.000000,12940.000000,10096.000000,11522.000000,6397.000000,17156.000000,2255.000000,2287.000000,2150.000000,4970.000000,2957.000000,2984.000000,1817.000000,3864.000000,1872.000000,2390.000000,251.000000,1721.000000,1951.000000,1158.000000,80.000000,16.000000
2011,104315.000000,104136.000000,16461.000000,12800.000000,9706.000000,10966.000000,6100.000000,15436.000000,1978.000000,2307.000000,2317.000000,5513.000000,2371.000000,3082.000000,2218.000000,3671.000000,1848.000000,2359.000000,263.000000,1797.000000,1825.000000,1118.000000,152.000000,27.000000
2012,115203.000000,114923.000000,18123.000000,12317.000000,11111.000000,15155.000000,7090.000000,15205.000000,2008.000000,2360.000000,2451.000000,5606.000000,2485.000000,3965.000000,2707.000000,4094.000000,2011.000000,2464.000000,262.000000,2011.000000,1717.000000,1781.000000,255.000000,25.000000
2013,130829.000000,130562.000000,20926.000000,12796.000000,12601.000000,18732.000000,8396.000000,15782.000000,2475.000000,2910.000000,3206.000000,6803.000000,2645.000000,4633.000000,2760.000000,4553.000000,2184.000000,2778.000000,273.000000,2226.000000,2230.000000,1653.000000,240.000000,27.000000
2014,114609.000000,114401.000000,19173.000000,11952.000000,10183.000000,16648.000000,7679.000000,13625.000000,2007.000000,2603.000000,2639.000000,5708.000000,2327.000000,4342.000000,2323.000000,3862.000000,1758.000000,2317.000000,237.000000,1936.000000,1679.000000,1403.000000,197.000000,11.000000
