年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,136181.000000,135670.000000,15681.000000,16263.000000,9006.000000,12105.000000,12981.000000,15499.000000,3429.000000,2862.000000,4362.000000,9112.000000,4375.000000,6533.000000,5312.000000,6793.000000,1865.000000,2482.000000,934.000000,2318.000000,2007.000000,1751.000000,466.000000,45.000000
1999,130547.000000,129988.000000,15460.000000,15837.000000,8250.000000,11895.000000,12056.000000,14463.000000,3271.000000,2894.000000,4308.000000,9096.000000,4123.000000,6343.000000,4833.000000,6279.000000,1714.000000,2387.000000,929.000000,2248.000000,1962.000000,1640.000000,511.000000,48.000000
2000,128398.000000,127800.000000,14928.000000,14931.000000,7585.000000,11507.000000,12200.000000,14236.000000,3417.000000,2810.000000,4073.000000,9098.000000,4085.000000,6445.000000,5276.000000,6543.000000,1690.000000,2381.000000,867.000000,2258.000000,1754.000000,1716.000000,548.000000,50.000000
2001,131364.000000,130740.000000,14939.000000,15096.000000,7426.000000,11815.000000,13119.000000,14818.000000,3449.000000,2950.000000,4433.000000,9315.000000,4078.000000,6566.000000,5403.000000,6467.000000,1800.000000,2301.000000,867.000000,2314.000000,1915.000000,1669.000000,579.000000,45.000000
2002,133729.000000,133145.000000,15514.000000,15958.000000,7429.000000,11824.000000,13006.000000,15459.000000,3470.000000,3115.000000,4292.000000,9242.000000,4246.000000,6681.000000,5080.000000,6814.000000,1787.000000,2397.000000,871.000000,2328.000000,1856.000000,1776.000000,539.000000,45.000000
2003,133034.000000,132432.000000,15908.000000,15861.000000,7686.000000,12033.000000,12486.000000,15059.000000,3574.000000,3099.000000,3992.000000,9513.000000,4125.000000,6469.000000,5132.000000,6710.000000,1693.000000,2289.000000,838.000000,2357.000000,1908.000000,1700.000000,550.000000,52.000000
2004,139782.000000,139090.000000,16980.000000,16636.000000,8186.000000,12982.000000,12636.000000,16137.000000,3687.000000,3328.000000,4697.000000,9464.000000,4371.000000,6753.000000,5080.000000,6761.000000,1843.000000,2452.000000,757.000000,2475.000000,2081.000000,1784.000000,624.000000,68.000000
2005,140187.000000,139465.000000,17148.000000,16996.000000,8559.000000,12827.000000,12475.000000,16727.000000,3650.000000,3359.000000,4312.000000,9200.000000,4222.000000,6722.000000,5231.000000,6880.000000,1775.000000,2398.000000,682.000000,2437.000000,2044.000000,1821.000000,661.000000,61.000000
2006,148704.000000,148048.000000,18881.000000,18547.000000,8940.000000,14192.000000,12778.000000,17528.000000,3735.000000,3482.000000,4613.000000,9952.000000,4588.000000,6979.000000,5174.000000,6909.000000,1803.000000,2457.000000,767.000000,2718.000000,2185.000000,1820.000000,603.000000,53.000000
2007,154737.000000,154063.000000,20332.000000,19658.000000,9543.000000,14501.000000,13344.000000,18354.000000,4012.000000,3651.000000,4653.000000,9861.000000,4485.000000,7048.000000,5313.000000,7107.000000,1842.000000,2611.000000,726.000000,2822.000000,2277.000000,1923.000000,628.000000,46.000000
2008,154429.000000,153746.000000,20869.000000,19595.000000,9734.000000,14491.000000,13388.000000,18977.000000,3710.000000,3704.000000,4501.000000,9629.000000,4441.000000,6683.000000,5051.000000,7202.000000,1799.000000,2475.000000,697.000000,2653.000000,2293.000000,1854.000000,631.000000,52.000000
2009,152029.000000,151286.000000,21397.000000,19783.000000,9847.000000,14677.000000,12287.000000,18482.000000,3745.000000,3402.000000,4303.000000,9283.000000,4247.000000,6261.000000,4672.000000,6882.000000,1797.000000,2687.000000,685.000000,2625.000000,2401.000000,1823.000000,691.000000,52.000000
2010,153950.000000,153187.000000,22771.000000,20142.000000,10176.000000,14608.000000,13176.000000,19189.000000,3526.000000,3362.000000,4110.000000,9075.000000,3872.000000,6328.000000,4487.000000,6626.000000,1834.000000,2500.000000,643.000000,2531.000000,2406.000000,1825.000000,712.000000,51.000000
2011,150388.000000,149582.000000,22949.000000,19555.000000,10171.000000,14545.000000,12522.000000,19294.000000,3235.000000,3100.000000,3913.000000,8578.000000,3754.000000,5724.000000,4384.000000,6494.000000,1658.000000,2451.000000,684.000000,2458.000000,2306.000000,1807.000000,756.000000,50.000000
2012,127957.000000,127215.000000,19887.000000,17148.000000,8871.000000,12988.000000,10108.000000,16377.000000,2712.000000,2518.000000,3417.000000,7130.000000,3324.000000,4758.000000,3466.000000,5226.000000,1397.000000,2076.000000,586.000000,1811.000000,1918.000000,1497.000000,689.000000,53.000000
2013,141870.000000,141107.000000,22769.000000,19695.000000,10145.000000,14332.000000,10950.000000,17576.000000,2796.000000,2756.000000,3490.000000,7715.000000,3564.000000,5684.000000,3501.000000,5595.000000,1488.000000,2344.000000,789.000000,2014.000000,2261.000000,1643.000000,682.000000,81.000000
2014,173972.000000,173061.000000,28935.000000,24848.000000,12116.000000,17157.000000,13796.000000,21958.000000,3150.000000,3107.000000,4174.000000,9562.000000,3947.000000,5883.000000,4346.000000,6995.000000,1977.000000,2738.000000,667.000000,2931.000000,2744.000000,2030.000000,813.000000,98.000000
