年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,1116324.000000,1149230.000000,1531961.000000,1186947.000000,1152225.000000,944107.000000,1064805.000000,1024380.000000,1130952.000000,973722.000000,973219.000000,906808.000000,808764.000000,725663.000000,956460.000000,726480.000000,906415.000000,660563.000000,1037722.000000,1262533.000000,1092044.000000,970313.000000,-
1999,-,1135817.000000,1169204.000000,1560633.000000,1198322.000000,1178232.000000,925891.000000,1089138.000000,1065318.000000,1189640.000000,978959.000000,914110.000000,1035096.000000,917622.000000,791594.000000,918556.000000,768179.000000,902812.000000,756137.000000,1102552.000000,1317979.000000,992232.000000,776282.000000,-
2000,-,1139336.000000,1153690.000000,1630330.000000,1234864.000000,1085192.000000,968231.000000,1073347.000000,1005648.000000,1253586.000000,965883.000000,922140.000000,900459.000000,836703.000000,883295.000000,951647.000000,818517.000000,950705.000000,871465.000000,1094019.000000,1448624.000000,1046789.000000,909621.000000,1462431.000000
2001,-,1108461.000000,1142103.000000,1596257.000000,1165179.000000,1108237.000000,905392.000000,1043009.000000,900896.000000,1144397.000000,978213.000000,867859.000000,867103.000000,896122.000000,801051.000000,879138.000000,795255.000000,955175.000000,780142.000000,1003245.000000,1485881.000000,1022021.000000,922000.000000,1414444.000000
2002,-,1111550.000000,1160816.000000,1605896.000000,1215253.000000,1063418.000000,929898.000000,1013170.000000,874400.000000,1173446.000000,955362.000000,966308.000000,863293.000000,842944.000000,750186.000000,972097.000000,809514.000000,867385.000000,801024.000000,944630.000000,1388550.000000,1064817.000000,955451.000000,1290086.000000
2003,-,1112233.000000,1146693.000000,1593474.000000,1187838.000000,1071267.000000,970426.000000,1013233.000000,975791.000000,1212349.000000,984695.000000,988431.000000,849703.000000,834747.000000,768857.000000,959790.000000,770846.000000,902613.000000,769628.000000,927585.000000,1403579.000000,974598.000000,955133.000000,1360431.000000
2004,-,1122966.000000,1166321.000000,1583262.000000,1231830.000000,1039664.000000,974911.000000,1053645.000000,899966.000000,1255736.000000,933689.000000,971085.000000,916244.000000,872015.000000,805598.000000,886801.000000,788482.000000,891257.000000,902252.000000,1093045.000000,1540823.000000,869942.000000,983365.000000,1263859.000000
2005,-,1133642.000000,1197480.000000,1615538.000000,1226234.000000,1038235.000000,911355.000000,1092613.000000,1024547.000000,1356484.000000,977627.000000,932160.000000,934289.000000,795805.000000,825794.000000,934194.000000,732428.000000,817491.000000,811496.000000,1103987.000000,1435582.000000,1032138.000000,926800.000000,1289219.000000
2006,-,1151338.000000,1192907.000000,1627979.000000,1212894.000000,1096431.000000,981180.000000,1073295.000000,959199.000000,1206051.000000,1070970.000000,994230.000000,996313.000000,931044.000000,835253.000000,941736.000000,784082.000000,884560.000000,892181.000000,991806.000000,1562736.000000,1003004.000000,941968.000000,1335612.000000
2007,-,1162366.000000,1161741.000000,1652624.000000,1247554.000000,1159515.000000,1011389.000000,1128324.000000,943120.000000,1156761.000000,1041686.000000,954549.000000,905311.000000,822293.000000,773505.000000,993956.000000,904928.000000,907082.000000,822922.000000,1043712.000000,1627220.000000,941958.000000,1080476.000000,1363171.000000
2008,-,1150912.000000,1221746.000000,1634790.000000,1216980.000000,1075462.000000,1010188.000000,1114774.000000,1037076.000000,1349418.000000,965012.000000,934090.000000,891574.000000,793466.000000,787740.000000,879728.000000,728240.000000,865054.000000,940193.000000,1020069.000000,1526907.000000,935550.000000,1111849.000000,1308054.000000
2009,-,1128201.000000,1177787.000000,1620452.000000,1178459.000000,1025086.000000,956303.000000,1104573.000000,934946.000000,1364985.000000,972236.000000,923620.000000,1026574.000000,770043.000000,765188.000000,916128.000000,848155.000000,830338.000000,891923.000000,1072815.000000,1489633.000000,877581.000000,1048597.000000,1304789.000000
2010,-,1123761.000000,1133488.000000,1670079.000000,1150740.000000,1031831.000000,916361.000000,1099434.000000,1000572.000000,1396732.000000,1014100.000000,919819.000000,971283.000000,773803.000000,798297.000000,890749.000000,715008.000000,930745.000000,1021620.000000,1084682.000000,1507942.000000,877551.000000,1067777.000000,1476207.000000
2011,-,1157895.000000,1178833.000000,1645287.000000,1219162.000000,1149637.000000,978957.000000,1091973.000000,902770.000000,1454435.000000,1058061.000000,952286.000000,923225.000000,856239.000000,829596.000000,903440.000000,775472.000000,945987.000000,863777.000000,1063450.000000,1556284.000000,964888.000000,1127319.000000,1351519.000000
2012,-,1176877.000000,1157952.000000,1683958.000000,1277263.000000,1115529.000000,959415.000000,1137939.000000,1106961.000000,1460798.000000,1053452.000000,987073.000000,1027639.000000,861185.000000,907711.000000,927097.000000,832130.000000,951580.000000,911077.000000,1001882.000000,1518434.000000,1135691.000000,1113949.000000,1170980.000000
2013,-,1195566.000000,1190092.000000,1659231.000000,1294615.000000,1181664.000000,1029390.000000,1161274.000000,1007390.000000,1433724.000000,1067169.000000,967262.000000,934758.000000,865395.000000,889742.000000,889706.000000,827134.000000,990689.000000,952500.000000,1054673.000000,1601978.000000,1281613.000000,1230289.000000,1314897.000000
2014,-,1213703.000000,1211399.000000,1684110.000000,1365949.000000,1205058.000000,1029059.000000,1170138.000000,1103790.000000,1476722.000000,1144918.000000,970387.000000,958141.000000,887400.000000,816463.000000,863173.000000,857616.000000,884098.000000,961641.000000,1005690.000000,1648800.000000,1188458.000000,1112093.000000,1204306.000000
