年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,13799.000000,13799.000000,1657.000000,4563.000000,1125.000000,1644.000000,932.000000,2133.000000,130.000000,130.000000,221.000000,391.000000,127.000000,101.000000,127.000000,207.000000,31.000000,39.000000,4.000000,98.000000,108.000000,31.000000,-,-
2003,12450.000000,12450.000000,1622.000000,3220.000000,1281.000000,1683.000000,863.000000,1910.000000,167.000000,113.000000,217.000000,447.000000,112.000000,112.000000,105.000000,240.000000,18.000000,58.000000,9.000000,93.000000,135.000000,45.000000,-,-
2004,10867.000000,10867.000000,1652.000000,2603.000000,1142.000000,1563.000000,694.000000,1564.000000,120.000000,129.000000,194.000000,337.000000,129.000000,87.000000,43.000000,221.000000,19.000000,86.000000,5.000000,103.000000,114.000000,62.000000,-,-
2005,13780.000000,13780.000000,2371.000000,2915.000000,1388.000000,1744.000000,877.000000,2162.000000,153.000000,188.000000,238.000000,510.000000,144.000000,149.000000,90.000000,333.000000,16.000000,107.000000,7.000000,156.000000,95.000000,137.000000,-,-
2006,15030.000000,15029.000000,2385.000000,3306.000000,1542.000000,1895.000000,982.000000,2551.000000,134.000000,155.000000,222.000000,496.000000,121.000000,108.000000,77.000000,316.000000,54.000000,131.000000,10.000000,185.000000,221.000000,138.000000,1.000000,-
2007,19021.000000,19021.000000,2869.000000,4683.000000,1713.000000,2313.000000,1247.000000,3382.000000,165.000000,225.000000,239.000000,549.000000,167.000000,138.000000,95.000000,393.000000,71.000000,137.000000,4.000000,186.000000,222.000000,223.000000,-,-
2008,23651.000000,23651.000000,3702.000000,5067.000000,2584.000000,2662.000000,1618.000000,4330.000000,200.000000,365.000000,360.000000,737.000000,168.000000,162.000000,168.000000,513.000000,67.000000,180.000000,5.000000,240.000000,335.000000,188.000000,-,-
2009,30359.000000,30359.000000,4820.000000,6562.000000,4366.000000,3325.000000,2058.000000,4609.000000,260.000000,562.000000,460.000000,944.000000,259.000000,238.000000,232.000000,488.000000,49.000000,183.000000,7.000000,260.000000,459.000000,218.000000,-,-
2010,23383.000000,23363.000000,3837.000000,5054.000000,2574.000000,2600.000000,1532.000000,3778.000000,262.000000,515.000000,326.000000,731.000000,187.000000,217.000000,213.000000,433.000000,71.000000,218.000000,15.000000,276.000000,311.000000,213.000000,20.000000,-
2011,21854.000000,21839.000000,3395.000000,4296.000000,2452.000000,2557.000000,1507.000000,3775.000000,212.000000,503.000000,228.000000,662.000000,202.000000,218.000000,245.000000,457.000000,104.000000,220.000000,21.000000,271.000000,300.000000,214.000000,15.000000,-
2012,22786.000000,22780.000000,3485.000000,4139.000000,2398.000000,3135.000000,1702.000000,3717.000000,243.000000,565.000000,273.000000,649.000000,203.000000,210.000000,230.000000,568.000000,71.000000,276.000000,51.000000,272.000000,351.000000,242.000000,6.000000,-
2013,23682.000000,23676.000000,3988.000000,5016.000000,2562.000000,2923.000000,1542.000000,3572.000000,259.000000,590.000000,264.000000,690.000000,209.000000,169.000000,263.000000,477.000000,44.000000,300.000000,29.000000,263.000000,253.000000,263.000000,6.000000,-
2014,22443.000000,22442.000000,3888.000000,4268.000000,2750.000000,2640.000000,1500.000000,3495.000000,260.000000,541.000000,276.000000,624.000000,155.000000,218.000000,208.000000,478.000000,95.000000,263.000000,29.000000,255.000000,246.000000,253.000000,-,1.000000
