年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,4754.280000,276.860000,-,122.980000,113.680000,216.120000,394.300000,169.310000,507.420000,217.250000,-,550.640000,23.320000,160.080000,772.410000,448.500000,750.910000,21.900000,8.600000,-,-,-,-
1999,-,5374.270000,148.210000,2.430000,207.150000,460.250000,162.410000,322.270000,318.710000,511.440000,291.770000,3.710000,628.400000,14.240000,64.020000,1019.010000,392.800000,806.750000,17.000000,3.700000,-,-,-,-
2000,-,2842.280000,147.660000,8.150000,125.600000,60.200000,80.820000,226.480000,317.020000,256.300000,219.760000,-,236.590000,19.420000,69.580000,594.760000,226.720000,191.950000,46.470000,14.800000,-,-,-,-
2001,-,2895.860000,188.070000,8.100000,86.910000,67.460000,40.740000,264.100000,259.110000,214.090000,139.430000,-,436.560000,6.220000,39.520000,559.930000,213.240000,299.800000,67.580000,5.000000,-,-,-,-
2002,-,4063.670000,253.150000,3.480000,200.840000,72.930000,69.620000,247.550000,512.460000,228.810000,160.780000,4.340000,494.310000,99.990000,38.660000,711.330000,246.700000,522.800000,120.220000,75.700000,-,-,-,-
2003,-,2011.520000,20.440000,3.000000,12.640000,75.260000,14.070000,55.380000,468.490000,111.690000,-,-,190.070000,-,24.640000,635.390000,59.390000,255.970000,85.090000,-,-,-,-,-
2004,-,1085.730000,139.250000,1.030000,16.710000,56.480000,39.960000,16.200000,90.600000,60.810000,35.740000,4.160000,89.190000,15.160000,37.930000,112.360000,35.950000,216.070000,69.480000,48.170000,-,0.480000,-,-
2005,-,149.020000,-,-,-,-,2.270000,3.340000,-,-,-,16.030000,-,3.760000,-,48.220000,18.600000,56.800000,-,-,-,-,-,-
2006,-,138.550000,-,0.450000,-,-,-,-,-,-,-,-,-,4.800000,-,14.000000,5.840000,38.760000,74.700000,-,-,-,-,-
2007,-,197.950000,-,1.770000,-,-,5.840000,10.410000,-,15.120000,-,10.890000,-,7.600000,-,20.330000,12.620000,10.900000,102.470000,-,-,-,-,-
2008,-,98.560000,-,0.250000,-,-,3.150000,-,-,-,-,1.760000,-,6.700000,-,19.550000,25.730000,0.920000,40.500000,-,-,-,-,-
2009,-,697.700000,2.080000,1.720000,17.770000,2.470000,34.160000,10.960000,3.280000,29.470000,87.400000,6.990000,45.970000,9.170000,29.680000,250.950000,87.520000,35.110000,43.000000,-,-,-,-,-
2010,910.189100,878.279100,0.710000,1.410000,16.350000,6.380000,51.319500,25.680000,8.520000,56.570000,66.620000,18.319600,56.480000,19.060000,49.020000,317.950000,102.400000,67.100000,15.800000,-,-,-,30.500000,-
2011,1355.330000,1352.130000,1.700000,13.680000,14.130000,17.000000,14.130000,22.130000,10.010000,117.550000,64.090000,16.400000,49.660000,487.040000,54.280000,320.870000,85.300000,62.160000,2.000000,-,-,-,3.200000,-
2012,1514.380000,1465.910000,0.000000,1.660000,2.540000,41.520000,61.490000,33.140000,7.630000,147.800000,21.950000,10.880000,27.520000,571.580000,47.290000,330.430000,109.290000,49.190000,2.000000,-,-,-,48.470000,-
2013,499.820000,458.270000,2.820000,-,3.020000,2.900000,4.810000,18.830000,7.340000,91.310000,34.630000,1.110000,25.440000,-,33.930000,143.680000,69.310000,9.010000,8.610000,-,1.520000,-,41.550000,-
2014,673.420000,648.420000,18.570000,0.000000,0.000000,9.350000,9.340000,14.570000,10.750000,54.940000,31.620000,0.640000,163.160000,0.000000,22.380000,131.810000,85.990000,22.610000,72.690000,0.000000,0.000000,0.000000,20.000000,5.000000
