年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,52.310000,52.770000,54.810000,70.140000,49.620000,45.800000,46.310000,52.390000,41.650000,38.720000,35.590000,44.470000,36.720000,41.380000,33.720000,39.920000,36.360000,37.370000,27.860000,33.960000,56.720000,50.290000,5.780000,3.760000
1999,54.270000,54.810000,50.990000,75.280000,50.480000,50.710000,42.100000,56.860000,42.840000,45.760000,43.230000,43.460000,44.040000,37.130000,40.410000,42.620000,41.370000,39.180000,37.320000,35.980000,54.410000,49.050000,5.870000,4.050000
2000,62.610000,63.390000,57.130000,72.650000,67.850000,59.970000,59.020000,65.970000,59.590000,60.180000,53.800000,62.130000,37.760000,60.900000,51.400000,67.280000,58.420000,78.230000,41.380000,43.250000,62.930000,57.450000,14.950000,19.580000
2001,49.690000,50.420000,42.130000,73.980000,61.950000,36.850000,46.700000,59.770000,44.490000,45.820000,41.260000,41.950000,15.900000,46.910000,42.470000,46.050000,38.470000,42.360000,35.150000,37.340000,50.660000,47.500000,8.270000,10.290000
2002,53.720000,54.220000,54.630000,73.130000,50.870000,52.640000,51.990000,55.800000,38.830000,48.890000,37.250000,48.450000,47.320000,43.520000,40.990000,41.440000,32.490000,37.920000,25.680000,41.160000,49.920000,49.700000,20.780000,14.510000
2003,51.060000,51.610000,45.200000,74.230000,53.720000,52.280000,49.560000,54.790000,39.100000,44.860000,34.820000,44.380000,33.160000,39.830000,34.620000,35.420000,29.500000,32.170000,21.190000,37.750000,52.690000,46.780000,18.550000,13.100000
2004,51.250000,51.890000,48.590000,75.160000,54.560000,55.770000,50.830000,49.210000,31.250000,38.630000,40.860000,44.540000,38.460000,34.020000,34.750000,36.110000,30.510000,32.180000,19.300000,35.490000,52.550000,49.120000,15.450000,10.550000
2005,52.570000,53.150000,48.070000,74.940000,60.840000,56.720000,53.680000,46.350000,37.300000,43.640000,40.680000,46.580000,41.550000,36.080000,41.730000,36.340000,33.830000,35.030000,22.070000,36.310000,57.650000,52.030000,20.620000,10.420000
2006,55.150000,55.730000,56.670000,77.340000,63.350000,56.840000,50.990000,53.140000,37.290000,42.710000,44.470000,48.700000,35.520000,40.570000,44.740000,37.680000,32.480000,32.330000,24.350000,40.020000,56.550000,47.570000,20.620000,13.500000
2007,56.430000,57.010000,55.800000,77.280000,59.660000,56.520000,48.510000,62.310000,38.460000,39.930000,45.730000,48.140000,56.600000,40.080000,36.220000,38.790000,35.630000,32.130000,25.850000,44.000000,56.970000,46.870000,22.890000,16.640000
2008,50.440000,50.920000,66.450000,66.580000,50.210000,49.310000,43.780000,51.580000,33.290000,38.550000,33.600000,47.790000,40.300000,38.290000,31.650000,32.310000,33.170000,32.800000,25.760000,41.490000,54.140000,43.880000,21.820000,18.040000
2009,46.850000,47.350000,60.630000,66.030000,46.750000,49.900000,43.540000,42.080000,31.350000,32.480000,33.200000,37.570000,44.300000,32.250000,37.430000,30.460000,27.650000,29.910000,21.710000,29.970000,51.120000,37.340000,18.570000,13.360000
2010,47.480000,48.050000,65.360000,65.300000,54.750000,49.760000,40.690000,44.640000,33.280000,34.730000,33.720000,38.990000,27.910000,41.100000,23.020000,26.310000,22.160000,31.090000,21.360000,36.660000,58.140000,39.290000,17.200000,12.470000
2011,47.790000,48.320000,50.080000,60.780000,54.670000,57.430000,48.610000,48.210000,34.330000,38.920000,35.590000,42.830000,33.320000,37.800000,33.710000,29.150000,26.390000,31.750000,20.950000,34.690000,57.790000,39.090000,18.030000,10.610000
2012,50.460000,51.060000,56.870000,63.320000,55.160000,59.340000,47.010000,53.680000,32.290000,37.440000,35.300000,42.660000,34.840000,39.970000,38.160000,33.350000,29.850000,30.550000,25.920000,40.540000,58.830000,44.270000,16.900000,18.460000
2013,53.720000,54.390000,62.810000,66.050000,62.310000,60.110000,51.600000,55.900000,40.990000,45.680000,34.030000,41.990000,46.330000,42.960000,35.900000,35.070000,33.770000,31.280000,22.770000,40.640000,58.870000,45.770000,17.080000,12.420000
2014,53.630000,54.200000,61.880000,59.560000,68.380000,64.530000,56.410000,53.350000,39.440000,43.980000,38.850000,40.840000,41.670000,42.950000,37.020000,37.130000,30.720000,37.070000,26.510000,40.360000,58.240000,44.110000,19.250000,13.400000
