年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,209721.000000,18059.000000,-,86.000000,2486.000000,4218.000000,18223.000000,83159.000000,-,-,-,-,169.000000,1586.000000,18924.000000,4422.000000,1122.000000,19722.000000,21969.000000,15576.000000,-,-,-
1999,-,205639.000000,14093.000000,-,91.000000,2265.000000,3938.000000,13610.000000,97195.000000,-,4.000000,-,-,111.000000,1963.000000,13656.000000,4362.000000,977.000000,15083.000000,20508.000000,17783.000000,-,-,-
2000,-,169522.000000,10959.000000,-,133.000000,3489.000000,3661.000000,21126.000000,55873.000000,-,-,-,-,128.000000,2067.000000,12964.000000,3912.000000,1283.000000,15446.000000,18694.000000,19787.000000,-,-,-
2001,159862.000000,158968.000000,18253.000000,-,95.000000,2780.000000,3407.000000,12616.000000,51272.000000,16.000000,6.000000,-,-,135.000000,1563.000000,6630.000000,4220.000000,2263.000000,15984.000000,18497.000000,21231.000000,-,340.000000,554.000000
2002,185938.000000,185029.000000,25868.000000,-,77.000000,2100.000000,3383.000000,13019.000000,73458.000000,-,-,-,-,137.000000,1808.000000,6742.000000,4028.000000,1717.000000,18193.000000,16549.000000,17950.000000,-,238.000000,671.000000
2003,193482.000000,192682.000000,22536.000000,-,47.000000,2409.000000,2996.000000,13187.000000,88698.000000,-,-,-,-,149.000000,1857.000000,6909.000000,6059.000000,1181.000000,18453.000000,14358.000000,13843.000000,-,255.000000,545.000000
2004,197721.000000,196820.000000,14760.000000,-,107.000000,2320.000000,2886.000000,15186.000000,95288.000000,-,2.000000,-,-,148.000000,1520.000000,6916.000000,5951.000000,1361.000000,17884.000000,14055.000000,18436.000000,-,343.000000,558.000000
2005,201669.030800,200730.030800,18196.902000,-,82.773000,1483.095700,3173.642000,11452.600100,104728.889000,-,5.450000,-,-,84.229000,1531.293000,8101.500000,5339.500000,1180.957000,17382.700000,14034.800000,13951.700000,-,415.000000,524.000000
2006,154872.849290,154014.868290,10525.002000,-,83.700000,1335.077300,2557.284290,9273.035200,84055.179000,-,17.310000,-,-,92.210000,1267.355500,8129.796000,5230.600000,529.369000,11571.100000,14397.550000,4950.300000,-,469.680000,388.301000
2007,135440.017020,134619.017020,7620.467000,-,-,1279.542000,1962.721720,10074.681800,71422.754000,-,22.958000,-,-,150.435000,1223.768000,7714.195500,6250.700000,128.774000,10177.330000,13841.290000,2749.400000,-,321.000000,500.000000
2008,133334.720000,132593.540000,6573.240000,-,200.640000,1445.000000,1037.000000,9544.000000,79008.000000,-,11.150000,-,-,181.060000,1067.000000,7852.000000,3799.100000,204.020000,5006.650000,13604.500000,3060.180000,-,256.370000,484.810000
2009,146340.738490,145595.535290,6602.825000,-,417.338500,1370.861600,963.731600,7587.100100,87963.000000,-,16.062000,-,-,63.860000,1065.794690,7738.658000,3185.400000,112.586000,6228.886000,20058.478000,2220.200000,-,234.407200,510.796000
2010,128288.773720,127486.950920,7027.414000,-,-,1252.889900,902.768700,7159.241340,80985.608200,-,16.763000,-,-,340.250000,950.757560,7215.725000,3434.373000,-,5111.680220,11150.380000,1939.100000,-,222.968800,578.854000
2011,163578.572620,162803.774220,26471.181000,-,180.955500,1078.813300,1675.690120,13676.430100,63042.421790,-,16.992000,-,-,344.530000,922.944910,8446.118000,3038.562300,-,4155.162200,37646.373000,2107.600000,-,209.099400,565.699000
2012,148279.209090,147632.869590,25852.655000,-,153.615000,1778.939300,5414.113660,12291.267600,46682.694230,-,12.847000,-,-,287.235000,996.753060,9061.060500,2848.511500,-,3361.031740,36617.146000,2275.000000,-,188.246500,458.093000
2013,125021.144210,124552.833710,20513.746000,-,321.978500,1195.961300,680.696100,16085.886860,34544.878600,-,17.133000,-,-,261.355000,989.248250,8963.084700,3161.822400,208.000000,3520.143000,32145.300000,1943.600000,-,139.410500,328.900000
2014,139929.199480,139787.265980,22797.969000,-,367.855500,1741.234720,676.914900,13960.138640,36182.621000,-,18.480000,-,-,276.150000,1367.807280,8753.391240,4287.409800,196.417500,4955.546400,42378.780000,1826.550000,-,141.933500,-
