年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,16969.456000,16934.552000,2727.560000,5933.754000,959.416000,1469.270000,678.696000,2185.949000,273.296000,178.451000,310.711000,522.086000,188.522000,223.468000,143.107000,297.624000,78.010000,200.923000,30.561000,282.324000,167.457000,83.359000,28.578000,6.324000
1999,16080.503000,16037.564000,2800.132000,5675.376000,1052.550000,1066.841000,605.759000,2082.466000,412.449000,143.881000,221.870000,642.145000,146.797000,195.386000,147.234000,208.334000,54.280000,100.565000,36.322000,202.145000,147.176000,95.847000,29.593000,13.345000
2000,24335.785000,24270.714000,4913.141000,7549.833000,1791.661000,1504.228000,944.906000,3058.522000,316.085000,395.118000,586.925000,378.196000,265.944000,364.547000,268.698000,458.342000,153.443000,370.905000,43.969000,373.303000,372.347000,160.589000,51.979000,13.090000
2001,18200.437000,18134.541000,3431.048000,4984.843000,1472.139000,1484.090000,757.119000,2135.314000,238.351000,267.436000,311.989000,652.038000,295.641000,316.547000,238.066000,504.769000,112.090000,243.860000,26.571000,296.488000,222.361000,143.772000,53.498000,12.398000
2002,20456.708000,20422.262000,2960.978000,5477.683000,1522.783000,1857.169000,1003.368000,2203.820000,377.675000,286.750000,436.936000,1013.097000,383.542000,468.657000,321.334000,690.079000,169.078000,315.695000,31.850000,253.030000,453.327000,195.401000,28.322000,6.124000
2003,20367.754000,20325.271000,2765.172000,4805.301000,1593.399000,2618.399000,1022.695000,2396.111000,405.869000,388.139000,367.772000,786.165000,428.115000,448.477000,203.318000,509.580000,199.556000,274.201000,36.392000,257.119000,617.701000,201.781000,27.023000,15.459000
2004,22067.470000,22029.503000,4019.948000,4742.860000,1779.176000,2265.966000,897.846000,3227.337000,439.237000,365.486000,340.132000,785.783000,393.806000,449.132000,226.717000,459.555000,195.618000,354.544000,48.960000,346.992000,521.231000,169.170000,28.041000,9.924000
2005,20640.353000,20604.252000,2552.899000,5237.576000,1662.781000,2345.315000,1078.222000,2833.808000,398.559000,323.829000,456.074000,729.675000,372.958000,402.295000,187.953000,481.638000,196.868000,356.561000,28.684000,315.975000,506.505000,136.069000,23.632000,12.468000
2006,20747.257000,20648.927000,3084.051000,5095.372000,1572.504000,2054.491000,988.588000,2940.587000,365.132000,533.322000,348.174000,649.770000,389.017000,360.286000,186.411000,451.127000,195.527000,413.425000,42.293000,399.416000,440.155000,139.269000,48.825000,49.504000
2007,21495.704000,21459.464000,3818.481000,5006.068000,1655.307000,1896.754000,1014.742000,2990.768000,364.656000,356.493000,387.853000,685.315000,555.203000,460.716000,211.921000,510.744000,190.630000,399.632000,28.774000,393.294000,394.186000,137.918000,30.359000,5.880000
2008,19227.528000,19165.090000,3692.470000,3956.257000,1629.250000,1785.851000,1001.113000,2183.816000,386.733000,316.163000,420.001000,622.570000,501.552000,437.759000,264.375000,533.415000,211.906000,322.486000,22.650000,338.956000,406.352000,131.408000,53.230000,9.208000
2009,18260.945000,18209.085000,3178.414000,3801.697000,1582.449000,1593.147000,954.015000,2194.243000,291.395000,432.918000,457.060000,839.692000,378.070000,398.119000,339.509000,475.023000,192.644000,303.225000,22.537000,245.699000,407.225000,121.993000,48.111000,3.747000
2010,17282.071000,17220.919000,2824.036000,3310.726000,1647.437000,1775.618000,881.215000,2107.727000,267.051000,320.403000,368.777000,739.863000,350.816000,499.810000,290.839000,509.647000,161.576000,351.425000,29.702000,248.284000,401.502000,134.455000,53.494000,7.657000
2011,17220.420000,17171.068000,2570.281000,3154.038000,1774.785000,1791.383000,707.363000,2033.942000,335.455000,328.403000,377.568000,686.281000,370.308000,425.102000,383.282000,558.579000,197.297000,265.931000,49.706000,278.640000,749.659000,133.055000,42.815000,6.536000
2012,18087.604000,18041.662000,3062.806000,3174.734000,1924.395000,1793.439000,737.289000,2286.805000,333.102000,329.767000,373.126000,664.244000,350.299000,454.239000,222.771000,581.106000,198.208000,724.052000,25.606000,259.864000,407.932000,137.868000,42.630000,3.311000
2013,22531.175000,22453.400000,4286.508000,3432.780000,1776.056000,2478.708000,1087.356000,2698.238000,308.194000,390.777000,443.476000,2515.216000,376.697000,413.114000,250.090000,583.770000,175.843000,370.797000,58.185000,296.135000,378.474000,132.976000,62.654000,15.119000
2014,19473.873000,19425.929000,4302.270000,2952.673000,1568.997000,2338.924000,1012.902000,2627.600000,327.069000,417.799000,322.031000,660.871000,373.183000,435.509000,282.876000,583.507000,169.264000,297.695000,29.631000,207.166000,391.359000,124.592000,42.317000,5.626000
