年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,4.408152,4.408152,1.260120,10.021183,3.963012,17.760181,13.807531,3.702607,2.956238,7.020057,6.564885,2.819957,10.447761,1.430031,2.300995,4.065985,-,4.651163,6.666667,11.799762,13.373860,7.518797,-,-
2001,8.559642,8.559642,4.015100,11.863702,5.971338,17.334424,15.456570,7.783485,10.088692,13.333333,8.993157,4.477612,9.439528,1.587302,8.521971,5.479811,0.216450,4.298357,10.289389,6.392045,19.780220,7.977737,-,-
2002,8.578930,8.578930,5.468989,17.853348,3.808301,14.868901,12.283169,3.249097,2.324542,11.596639,15.711462,5.863192,30.505243,1.519337,8.315789,2.811992,16.342412,5.772006,9.278351,4.761905,14.059406,6.370656,-,-
2003,10.066262,10.066262,3.897059,14.074512,8.668731,24.169611,18.592058,1.957887,10.650299,6.890459,15.691736,13.207547,27.097506,2.486911,1.232966,3.188259,10.643564,4.260090,7.692308,13.365155,40.540541,7.230392,-,-
2004,6.905378,6.876309,7.320872,13.296854,11.270718,9.939071,7.250580,4.622765,5.736981,2.295918,10.280374,10.854503,0.932091,5.494505,1.377551,2.177033,2.242744,11.661342,2.968750,9.643917,14.450128,7.462687,10.967742,6.513410
2005,6.356137,6.438752,6.163887,8.815427,9.631602,9.040444,6.563899,6.315096,7.142857,1.183432,11.910883,10.393258,1.438849,8.529412,1.167942,2.426213,-,6.943192,1.151631,6.265985,20.075758,8.554572,6.976744,2.241594
2006,2.109121,2.201656,6.229872,1.342681,3.338322,8.210198,4.281045,3.033292,0.545598,1.927034,4.237560,0.454065,2.176181,3.399294,1.296910,1.427908,0.663773,5.303030,0.316813,2.590563,0.713593,2.295198,0.085229,1.422594
2007,2.477989,2.522504,5.710764,1.026585,6.394464,8.929361,2.337122,5.916135,1.218996,0.670607,3.288333,1.104576,3.219728,5.344535,1.872114,1.629233,0.224343,1.462575,0.954158,4.059278,0.457068,2.705594,0.062364,2.655889
2008,2.243688,2.221778,1.892855,0.971864,5.823819,8.904566,1.887408,4.401797,0.895831,0.503158,2.943566,0.589384,3.016958,4.318455,2.276560,1.333942,0.625244,0.481000,0.991815,8.306626,0.788394,0.656669,0.026381,21.256039
2009,2.212472,2.248411,7.252947,1.269105,5.985267,5.592637,4.435484,2.560471,3.874332,0.067655,21.615133,0.348556,5.455284,3.202673,5.965745,0.936569,0.589923,0.023132,0.751230,3.986409,0.779902,1.281386,-,1.269841
2010,2.129217,2.163840,5.395764,0.996980,5.131809,4.466963,2.178840,3.468404,6.063153,0.161825,3.357985,0.708333,6.758171,2.713525,3.575259,0.778037,1.330919,-,2.148223,1.878813,0.748995,0.744748,0.007873,1.037806
2011,1.386716,1.567807,0.447100,1.084988,0.819559,4.558194,2.737910,4.476777,3.689181,0.973506,1.210570,2.512615,0.500015,1.074585,2.864160,0.106337,0.519859,0.778106,2.504244,1.377182,0.432015,0.963192,0.001025,0.902256
2012,1.237616,1.255153,0.138922,0.936229,0.858687,2.223842,1.659367,4.308943,1.961957,0.974735,1.140823,1.523278,0.156289,1.364550,1.368914,0.040267,0.335274,0.573553,1.736276,1.599648,0.703012,2.885446,0.309206,1.878736
2013,1.352773,1.367663,2.586964,0.733306,1.750337,1.528734,6.689231,2.776624,2.343956,0.704355,1.462168,1.995165,1.013188,0.343799,1.523948,0.261307,0.377083,0.339739,0.622736,0.912241,0.778083,3.781118,0.180126,3.128055
2014,1.395600,1.404099,0.390387,0.721458,2.176199,1.485080,4.015203,4.381703,1.773568,1.777190,0.409393,1.681043,1.481987,1.696854,1.953653,0.186326,0.007880,1.192952,2.010550,1.369946,1.254245,1.594938,0.525040,1.048387
