年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2006,2662932.000000,2661171.000000,287600.000000,1378632.000000,115105.000000,242493.000000,102629.000000,199434.000000,12891.000000,19773.000000,20818.000000,80861.000000,19406.000000,24416.000000,15147.000000,24339.000000,9504.000000,13567.000000,2199.000000,38455.000000,28350.000000,25552.000000,1436.000000,325.000000
2007,2669858.000000,2667847.000000,274575.000000,1539630.000000,106777.000000,202766.000000,77053.000000,169559.000000,13025.000000,16377.000000,20599.000000,74837.000000,18499.000000,20874.000000,13152.000000,20951.000000,5971.000000,11749.000000,1882.000000,30887.000000,26613.000000,22072.000000,1515.000000,496.000000
2008,2645930.000000,2643448.000000,282339.000000,1541146.000000,94962.000000,205037.000000,72116.000000,156589.000000,14541.000000,16569.000000,16948.000000,73596.000000,17357.000000,19323.000000,9787.000000,18680.000000,6122.000000,11198.000000,1775.000000,38624.000000,25251.000000,21486.000000,1126.000000,1357.000000
2009,2625800.000000,2623496.000000,272048.000000,1523007.000000,98118.000000,194323.000000,71758.000000,149489.000000,15756.000000,18080.000000,19420.000000,77927.000000,19908.000000,22777.000000,13077.000000,18408.000000,6796.000000,11971.000000,1967.000000,43800.000000,25088.000000,19777.000000,1444.000000,861.000000
2010,2728007.000000,2725720.000000,315099.000000,1575017.000000,97272.000000,209986.000000,80261.000000,163573.000000,13676.000000,15315.000000,18153.000000,67703.000000,15573.000000,20717.000000,11526.000000,17566.000000,5960.000000,12731.000000,1748.000000,41747.000000,23267.000000,18829.000000,1337.000000,951.000000
2011,2780534.000000,2777966.000000,320137.000000,1622770.000000,99924.000000,205438.000000,74637.000000,162805.000000,15136.000000,15163.000000,18831.000000,76733.000000,16381.000000,20819.000000,11498.000000,18172.000000,6945.000000,12100.000000,2405.000000,33657.000000,25671.000000,18745.000000,1515.000000,1053.000000
2012,2706407.000000,2703765.000000,321259.000000,1575456.000000,92956.000000,202193.000000,75779.000000,158426.000000,13818.000000,14101.000000,18017.000000,71195.000000,15229.000000,19096.000000,10924.000000,17569.000000,7034.000000,11044.000000,2208.000000,35400.000000,24198.000000,17862.000000,1728.000000,915.000000
2013,2699978.000000,2698033.000000,325221.000000,1543528.000000,97234.000000,210406.000000,82324.000000,163099.000000,14069.000000,12552.000000,16390.000000,69537.000000,14920.000000,20341.000000,10567.000000,17000.000000,7342.000000,10932.000000,2275.000000,37234.000000,25881.000000,17178.000000,1440.000000,505.000000
2014,2755083.000000,2753451.000000,358036.000000,1515981.000000,106786.000000,202267.000000,85408.000000,172068.000000,15326.000000,16426.000000,19655.000000,82769.000000,17006.000000,26212.000000,12572.000000,18014.000000,8120.000000,11708.000000,2316.000000,38995.000000,28649.000000,15138.000000,1244.000000,389.000000
