年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,2.183156,0.804807,-,0.753218,0.480160,1.188725,1.473282,3.632365,11.943495,3.878765,-,10.079619,0.310745,2.824705,8.467997,17.835165,21.013939,2.424820,0.225874,-,-,-,-
1999,-,2.448137,0.425247,0.009202,1.239574,1.914771,0.888972,1.194648,6.849331,11.869841,5.211751,0.028461,11.531206,0.190472,1.134709,11.200651,15.783404,22.652386,1.905018,0.096440,-,-,-,-
2000,-,1.284640,0.417189,0.030826,0.733664,0.246615,0.439942,0.834008,6.816242,5.868480,3.926014,-,4.358796,0.260740,1.237014,6.548039,9.195458,5.412256,5.206460,0.382614,-,-,-,-
2001,-,1.299878,0.524007,0.030680,0.497257,0.272782,0.220778,0.967988,5.566363,4.832660,2.489059,-,8.059408,0.083662,0.702160,6.163392,8.705024,8.483677,7.436016,0.128305,-,-,-,-
2002,-,1.814428,0.698181,0.013193,1.129722,0.292043,0.376232,0.904405,11.021759,5.090441,2.867472,0.033002,9.127605,1.345435,0.686826,7.836007,10.098715,14.825044,13.016880,1.935032,-,-,-,-
2003,-,0.894251,0.055862,0.011387,0.069937,0.298754,0.075867,0.201759,10.103387,2.449433,-,-,3.514319,-,0.438901,7.021078,2.439981,7.279113,9.213910,-,-,-,-,-
2004,-,0.480943,0.377135,0.003924,0.090936,0.222446,0.215009,0.058926,1.957710,1.312635,0.637335,0.031596,1.653489,0.205243,0.678343,1.245696,1.487950,6.170828,7.549671,1.227920,-,0.017780,-,-
2005,-,0.065785,-,-,-,-,0.012193,0.012134,-,-,-,0.121781,-,0.051153,-,0.536225,0.776106,1.631136,-,-,-,-,-,-
2006,-,0.060928,-,0.001715,-,-,-,-,-,-,-,-,-,0.065672,-,0.156264,0.245947,1.119259,8.107492,-,-,-,-,-
2007,-,0.086712,-,0.006728,-,-,0.031257,0.037683,-,0.307469,-,0.082833,-,0.104528,-,0.228029,0.537459,0.316582,11.127460,-,-,-,-,-
2008,-,0.043030,-,0.000952,-,-,0.016831,-,-,-,-,0.013398,-,0.092455,-,0.220356,1.105457,0.026872,4.361921,-,-,-,-,-
2009,-,0.303620,0.005397,0.006577,0.090261,0.009392,0.182264,0.039567,0.071109,0.581173,1.557737,0.053249,0.865255,0.126792,0.541385,2.839639,3.769603,1.029020,4.537828,-,-,-,-,-
2010,0.393324,0.381273,0.001827,0.005396,0.082143,0.024148,0.273762,0.092635,0.184793,1.104994,1.186769,0.139857,1.068367,0.264640,0.898655,3.620991,4.421703,1.974200,1.636221,-,-,-,3.190927,-
2011,0.584357,0.585772,0.004351,0.051919,0.070380,0.063996,0.075345,0.079777,0.217716,2.281071,1.141429,0.125655,0.946538,6.805994,1.004079,3.692324,3.717075,1.840025,0.206106,-,-,-,0.318017,-
2012,0.650776,0.633191,0.000000,0.006236,0.012563,0.155236,0.327196,0.119356,0.166293,2.837849,0.389881,0.083599,0.527707,8.024726,0.882552,3.835586,4.808797,1.463927,0.204082,-,-,-,4.467405,-
2013,0.214105,0.197394,0.007144,-,0.014825,0.010768,0.025552,0.067752,0.160078,1.731851,0.613175,0.008552,0.490448,-,0.638411,1.679754,3.073117,0.269322,0.864271,-,0.035616,-,3.553955,-
2014,0.287742,0.278686,0.046884,0.000000,0.000000,0.034492,0.049582,0.052421,0.234401,1.028727,0.558319,0.004947,3.163435,0.000000,0.424663,1.550521,3.827809,0.677667,7.191405,0.000000,0.000000,0.000000,1.610073,4.053342
