年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,8.900000,9.000000,17.800000,10.100000,4.400000,13.100000,4.900000,13.100000,-,15.300000,14.100000,-,13.900000,-,-,-,-,22.000000,-,-,-,-,-,-
1999,8.400000,8.500000,9.700000,6.300000,4.100000,9.000000,-,15.400000,-,14.000000,13.000000,5.400000,41.600000,-,12.600000,-,28.800000,-,-,-,-,32.200000,-,-
2000,7.800000,7.900000,6.600000,-,18.600000,5.700000,8.500000,8.400000,-,13.000000,-,10.200000,13.200000,17.500000,-,16.000000,-,21.200000,-,-,-,-,-,-
2001,7.000000,7.000000,12.900000,11.300000,8.700000,13.300000,-,3.500000,-,-,14.000000,6.000000,-,-,-,-,32.400000,-,-,-,-,-,-,-
2002,7.700000,7.700000,10.900000,3.900000,4.500000,3.500000,11.000000,3.600000,19.700000,15.200000,14.300000,12.300000,-,-,-,9.900000,-,-,93.500000,26.500000,20.400000,-,-,-
2003,6.600000,6.600000,14.500000,12.800000,9.700000,7.700000,-,-,-,-,-,-,-,-,-,10.900000,37.400000,-,-,30.000000,-,-,-,-
2004,5.500000,5.600000,9.000000,-,5.000000,3.900000,6.200000,4.100000,22.700000,-,-,-,-,-,-,11.800000,-,29.200000,-,-,-,86.700000,-,-
2005,7.300000,7.300000,3.100000,4.800000,-,8.300000,6.400000,8.600000,-,17.400000,18.400000,-,39.500000,13.700000,-,25.100000,-,-,-,-,21.900000,-,-,-
2006,7.300000,7.400000,6.100000,4.700000,10.400000,-,13.000000,4.300000,-,16.800000,-,23.100000,-,14.500000,-,25.800000,-,-,-,-,-,-,-,-
2007,6.900000,6.900000,3.100000,4.700000,10.200000,4.100000,6.600000,13.100000,26.500000,-,-,-,-,-,-,13.900000,-,67.900000,-,-,19.900000,-,-,-
2008,6.600000,6.700000,3.100000,4.900000,5.200000,26.000000,-,4.600000,-,32.500000,-,-,-,-,-,-,-,-,-,-,19.200000,-,-,-
2009,8.300000,8.400000,12.400000,-,10.700000,13.100000,7.000000,4.700000,-,16.500000,-,8.100000,-,17.000000,23.600000,-,-,-,-,-,18.600000,-,-,-
2010,4.200000,3.600000,7.300000,5.400000,6.300000,5.100000,-,-,29.000000,-,-,-,-,-,-,-,-,-,-,-,-,-,96.000000,-
2011,5.000000,5.000000,2.900000,-,11.000000,4.100000,7.000000,-,-,18.100000,-,16.800000,-,18.300000,-,-,-,-,-,-,18.400000,-,-,-
2012,8.500000,8.500000,7.200000,9.900000,9.800000,13.800000,5.500000,-,25.000000,-,-,21.400000,24.000000,-,25.100000,-,-,-,-,-,16.000000,-,-,-
2013,9.200000,9.200000,11.400000,7.600000,6.100000,-,6.900000,18.900000,-,-,37.000000,-,29.900000,-,32.800000,-,61.700000,-,-,-,19.900000,-,-,-
2014,6.600000,6.700000,7.800000,-,22.900000,15.200000,-,4.400000,-,-,-,16.500000,-,-,-,-,-,-,-,-,-,-,-,-
