年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,112.030229,112.030229,50.220490,151.054476,161.683283,134.959045,88.426683,128.083311,21.305943,58.849266,54.529853,62.736827,49.296137,124.285714,43.318681,55.704520,494.370370,92.839827,52.256000,109.971957,50.967997,118.944771,-,-
1999,105.996413,105.996413,82.959038,156.470120,142.713800,67.455270,145.620511,114.669060,27.866242,254.716595,43.062754,55.372028,49.378869,131.233227,57.055973,47.382593,122.667475,98.320487,87.964557,121.933850,79.322446,104.900634,-,-
2000,110.640460,110.788780,80.214816,117.181337,126.546752,127.613558,172.738257,98.294255,17.451465,149.905116,175.178306,77.191974,21.622717,180.945886,220.617997,41.451823,105.618127,85.785457,93.188679,193.130037,114.645327,139.488863,49.716599,-
2001,94.055108,94.045232,82.391415,104.571372,49.273149,123.535271,122.065365,115.086167,10.571370,86.931624,55.919769,87.768695,12.197223,182.681953,158.267442,34.583523,106.212245,82.714200,98.093645,160.096198,69.758659,171.179487,101.217116,-
2002,80.521284,80.686599,50.866123,49.282287,73.925404,90.272742,98.023165,101.453402,21.277032,75.996583,52.596760,59.050829,15.079579,196.022542,246.212788,138.667991,101.333333,79.564847,109.616183,75.266900,79.364230,66.575818,61.275040,-
2003,90.661593,90.772536,119.984654,87.875762,99.692389,76.352812,93.286719,87.305311,17.715244,132.686957,68.381287,95.879930,32.624455,192.353103,200.757408,161.870286,90.921085,80.068328,147.701342,129.140333,81.779787,121.697274,78.733189,-
2004,89.532492,89.645244,152.832527,82.760142,79.057292,84.447027,122.250534,100.288213,42.677175,82.237256,53.784309,78.216628,36.954545,220.953309,76.026772,81.107301,76.186074,66.747241,83.945439,57.141304,43.985396,93.522081,73.718550,-
2005,93.921102,93.978722,139.857265,79.661548,80.746962,103.612415,104.494772,117.956359,62.671615,68.285360,45.329089,54.897325,54.750228,120.721827,90.569943,89.941072,99.110588,105.186489,55.921649,62.150958,39.304114,66.701237,91.804949,-
2006,98.984487,99.362080,116.046002,66.129430,93.169826,76.291533,151.635091,113.387001,73.633115,72.581587,62.446866,137.600657,52.180230,121.321769,122.678068,82.946276,28.934206,176.039636,161.618337,115.288632,76.763623,129.944760,43.225191,-
2007,114.075835,114.731256,114.234800,68.384830,88.133533,164.158943,156.864938,148.610443,76.677766,197.935978,56.968840,107.952027,52.352030,84.958502,192.736542,95.920105,32.428122,173.939277,102.692168,176.639520,91.844226,82.770210,30.677333,-
2008,129.276074,129.758763,156.425826,82.652513,119.401314,128.421420,245.274220,134.672114,74.498338,366.261682,77.878643,105.950685,36.783724,107.227875,119.060507,79.703002,50.790958,185.410945,108.129811,106.726954,100.663265,153.867403,76.772164,-
2009,141.426683,141.345282,231.830244,94.742908,150.454918,121.825003,205.249704,127.026977,65.117039,298.183648,80.356572,73.400598,33.695821,80.560120,114.772207,64.279235,30.544531,237.046222,139.857778,132.209226,84.140553,138.773730,151.223499,-
2010,176.493238,177.307996,212.380861,88.602050,177.903273,152.176189,288.535955,285.207131,85.524601,179.007702,98.214588,175.296763,38.277083,283.748435,133.559735,81.934920,28.306909,162.384317,133.593337,161.814516,75.570228,111.975420,75.227581,-
2011,141.891550,142.337782,145.754765,108.163232,202.400185,187.823327,320.911612,167.077304,81.648630,183.077378,276.246024,107.802035,42.784625,89.728600,121.357752,59.785672,65.932586,63.598623,136.570820,109.099366,74.929994,128.023289,94.360403,26.800000
2012,169.646867,170.597606,158.953709,143.241965,269.596161,333.755610,426.381093,204.633876,107.738619,215.935939,164.010170,74.605070,44.981674,76.533297,121.566086,88.447872,57.394875,115.970434,205.721022,127.863389,78.006283,221.975521,74.696934,70.580645
2013,167.459082,168.343947,152.621065,176.107411,374.451856,288.521125,267.727090,178.976793,120.120965,173.420337,166.213363,85.442836,48.337030,53.895175,101.784496,183.001753,51.218584,92.934538,176.663844,105.898946,78.781784,146.223455,74.100279,95.666667
2014,147.742765,148.427719,123.660767,85.578211,156.546076,166.643380,308.772983,204.500476,123.230672,162.161081,177.097716,100.828436,50.572637,93.838308,107.022243,170.712078,57.537396,108.941357,150.529695,163.610823,174.474919,221.554820,67.669372,30.476190
