年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,2.324063,2.332578,1.249293,2.851707,1.729378,3.749986,1.839176,2.002880,0.299911,2.649080,8.501263,0.886533,3.162869,1.813430,2.102938,1.674773,0.361939,1.520008,-,3.387297,6.503360,3.605707,-,-
1999,2.327884,2.336378,1.073574,1.641113,1.854649,3.545380,1.751235,3.557956,0.233806,2.695161,9.863789,0.988853,1.098250,1.387813,2.580624,1.549947,1.393780,1.750852,2.025179,3.704404,6.602885,4.060475,-,-
2000,2.674994,2.684893,2.036541,1.557378,2.098592,3.681586,2.186728,3.658426,0.506576,2.634724,10.531151,1.033703,3.244889,1.944824,2.918257,1.850087,0.863558,2.076441,-,3.734369,8.041952,4.419800,-,-
2001,2.745342,2.755853,2.387658,1.644113,2.203985,3.661896,2.421761,3.607692,0.169382,2.625086,7.530987,1.059356,5.446576,1.242811,3.630965,2.018398,0.510188,2.114985,0.904801,3.947008,9.022556,5.075769,-,-
2002,2.601210,2.611437,2.809062,1.306941,1.716268,3.846085,1.970911,3.715520,0.720083,2.646105,4.027213,1.675680,3.079822,1.166876,3.650429,2.255661,1.489344,2.178741,0.809190,3.420695,8.272799,5.864658,-,-
2003,2.770475,2.781471,3.134554,0.823435,1.151788,4.380017,1.672468,3.550873,0.446426,2.805810,6.220193,2.550647,2.353163,1.698140,4.370740,2.527826,4.591879,2.607140,1.007315,3.018216,9.425682,6.228884,-,-
2004,2.768913,2.779290,2.939987,1.081349,2.204001,5.242221,1.713710,2.431015,0.273715,2.812814,4.485270,1.738436,2.444048,1.777116,4.619095,3.782800,3.347289,2.699460,1.520913,3.041130,9.983709,6.619471,0.231122,-
2005,2.609104,2.617177,2.754980,0.982992,1.823805,5.259289,1.537338,2.789155,1.757998,2.722341,3.677207,0.954696,2.049954,1.690895,4.555603,1.905870,3.210250,2.973744,1.386781,3.089037,10.504066,6.819775,0.777767,-
2006,2.781691,2.791005,2.581476,0.932781,1.971876,5.274802,1.333960,3.038559,1.846858,2.723527,4.533048,0.729818,2.939636,1.671055,4.497097,4.174656,5.580742,3.797433,1.232539,3.103761,10.062290,7.471276,0.750824,-
2007,2.661873,2.669618,2.485973,1.056224,1.470221,4.995996,1.490591,2.685544,2.148514,2.698754,3.710010,1.506984,1.480304,2.508505,4.311362,3.451029,3.611786,4.547944,0.883692,2.983020,9.724971,7.428495,1.082882,-
2008,2.703312,2.713897,2.607599,0.855889,1.879310,4.802851,2.086012,2.793683,1.829205,2.682755,4.121864,1.551793,1.182441,2.766118,4.100430,4.023550,1.710535,3.359318,1.929863,3.007015,9.447971,7.014098,0.492828,-
2009,2.641982,2.650459,2.738178,0.974456,1.376562,4.709576,2.055165,2.663596,1.377999,2.775047,3.141162,1.758842,1.338102,3.026604,3.775714,4.326215,1.972372,3.243817,1.595598,2.307291,9.164983,5.734996,0.965577,-
2010,2.631999,2.640742,2.697368,0.982314,1.732116,4.611031,2.356418,2.451042,1.449410,3.057218,3.642099,1.448086,1.235655,2.966707,3.684544,3.698773,2.150248,3.303127,1.538303,2.257905,9.347432,6.265497,0.942317,-
2011,2.578190,2.590696,2.717511,0.796415,1.506655,4.409445,1.941282,2.307060,1.699032,5.211421,2.961389,1.600029,1.498385,3.248196,3.657179,3.270736,2.294586,3.123074,1.457298,3.019574,10.074541,6.116052,0.124867,-
2012,2.803595,2.818635,2.789672,1.771960,1.154106,4.268071,1.406427,2.374174,1.687209,6.856042,2.881137,3.101110,1.921992,2.996535,3.552255,3.838185,4.032134,3.226630,1.392075,2.938613,10.403088,6.066749,-,-
2013,3.042961,3.050558,3.032961,1.550711,2.765286,4.511926,1.939158,2.479221,2.554783,9.153289,3.142839,3.887758,1.954031,2.717001,3.335956,2.394518,3.202684,3.102690,1.339793,2.736670,10.312210,5.965349,1.721378,1.491424
2014,3.474856,3.460556,3.013698,1.783199,3.718206,6.520209,3.193074,3.191760,1.765968,8.845315,2.955002,2.129918,3.611243,2.526785,3.293436,2.472338,2.420122,3.820190,2.505204,2.642580,10.183130,5.926791,6.192737,2.678571
