年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,22508668949.000000,2958003648.000000,8382352940.000000,1755869460.000000,2089400817.000000,1277855363.000000,2522476019.000000,172267785.000000,399452086.000000,317500842.000000,746752071.000000,198833652.000000,232735784.000000,178097013.000000,216178414.000000,49724104.000000,114587409.000000,16825546.000000,150918129.000000,566536186.000000,162301681.000000,-,-
1999,-,23621876118.000000,3165844575.000000,8753673057.000000,1830300593.000000,2121591640.000000,1295213564.000000,2534591947.000000,169606573.000000,499432437.000000,325224467.000000,770758475.000000,208516801.000000,311046558.000000,193957478.000000,214041938.000000,48145755.000000,126474697.000000,16719616.000000,165137766.000000,708662284.000000,162935897.000000,-,-
2000,-,25843598662.000000,3461763914.000000,9598677230.000000,2056208749.000000,2164505436.000000,1351199819.000000,2660983263.000000,162437125.000000,695403251.000000,338346800.000000,801125251.000000,220703992.000000,373381008.000000,212107701.000000,222402844.000000,46246210.000000,121547454.000000,17379447.000000,166551184.000000,1002869872.000000,169758112.000000,-,-
2001,-,23548234024.000000,3277433848.000000,8749928218.000000,1961501755.000000,1955768593.000000,1233557458.000000,2334737757.000000,155745812.000000,584327123.000000,283787267.000000,705241167.000000,199103335.000000,460795859.000000,183660487.000000,206424585.000000,45132226.000000,117897291.000000,17576439.000000,162693574.000000,758327177.000000,154594053.000000,-,-
2002,-,24646797201.000000,3578708500.000000,8886939917.000000,2129521218.000000,2029414011.000000,1321971590.000000,2462525697.000000,166092610.000000,671351333.000000,327296827.000000,736953365.000000,195891367.000000,514486624.000000,192569808.000000,216934760.000000,44930254.000000,122487273.000000,18352668.000000,156836082.000000,718253080.000000,155280217.000000,14137031.000000,-
2003,27365282945.000000,27342373219.000000,3962349212.000000,10015849090.000000,2336361333.000000,2164701674.000000,1464418309.000000,2728328712.000000,174262707.000000,659033052.000000,367788637.000000,784485775.000000,192994484.000000,635054815.000000,198794524.000000,218084150.000000,45344042.000000,130947798.000000,17956408.000000,154549122.000000,930523036.000000,160546339.000000,20968954.000000,1940772.000000
2004,32002921346.000000,31971558281.000000,4387357948.000000,11708508239.000000,2706326350.000000,2493464706.000000,1791407748.000000,3293488015.000000,189081468.000000,724233242.000000,496877972.000000,910134291.000000,204923248.000000,832799192.000000,204291062.000000,248382563.000000,49484233.000000,138701631.000000,19612993.000000,177560394.000000,1218551304.000000,176371682.000000,27439648.000000,3923417.000000
2005,34334324938.000000,34297481735.000000,4573810373.000000,13126304072.000000,2849078629.000000,2647833420.000000,1927161739.000000,3360546095.000000,200364245.000000,757683721.000000,525084980.000000,939133430.000000,211454398.000000,966064384.000000,213537441.000000,257645870.000000,50191624.000000,147383391.000000,21784064.000000,182609577.000000,1155269424.000000,184540858.000000,32691214.000000,4151989.000000
2006,34604714546.000000,34571930541.000000,4000952885.000000,12838642221.000000,2959014338.000000,2844425838.000000,2092816488.000000,3527059188.000000,205427549.000000,807301769.000000,498356528.000000,1022551511.000000,221787923.000000,1111923477.000000,224100462.000000,266656436.000000,51846563.000000,144374129.000000,22571583.000000,173172658.000000,1377544121.000000,181404874.000000,28756966.000000,4027039.000000
2007,36066701870.000000,36031696382.000000,4077630403.000000,12694160402.000000,3062974192.000000,2976045706.000000,2291024240.000000,3835807571.000000,213198753.000000,874978861.000000,512173024.000000,1133195246.000000,227470354.000000,1403313837.000000,237479961.000000,292437119.000000,51810044.000000,150396687.000000,21974676.000000,173817138.000000,1610819341.000000,190988827.000000,31085824.000000,3919664.000000
2008,35409928841.000000,35372070569.000000,3965031010.000000,11893018820.000000,2998712613.000000,3082050652.000000,2300572988.000000,3860839464.000000,222042396.000000,884540804.000000,512287300.000000,1142719885.000000,218602962.000000,1581019639.000000,241768609.000000,295721366.000000,52320322.000000,147731587.000000,24897493.000000,178745194.000000,1581955831.000000,187491634.000000,34027292.000000,3830980.000000
2009,30144313620.000000,30104894710.000000,3460920900.000000,10230307962.000000,2567296866.000000,2587175221.000000,1956092862.000000,3128841804.000000,206074443.000000,755141268.000000,470166770.000000,980439779.000000,203559993.000000,1233998248.000000,212961708.000000,275266711.000000,52923113.000000,148691971.000000,21690564.000000,156457368.000000,1284704988.000000,172182171.000000,35596261.000000,3822649.000000
2010,36371204832.000000,36329128915.000000,4031206335.000000,11810841412.000000,3334995988.000000,3300237053.000000,2392352217.000000,3944483130.000000,231021420.000000,946230236.000000,613635717.000000,1204666161.000000,241540753.000000,1384505415.000000,250189589.000000,319536951.000000,59194603.000000,154532770.000000,22097185.000000,175187739.000000,1716669505.000000,196004736.000000,37979676.000000,4096241.000000
2011,38003188168.000000,37956560365.000000,4171896944.000000,12283808099.000000,3599815462.000000,3585557365.000000,2468896728.000000,4198172947.000000,254507321.000000,966523382.000000,623112163.000000,1292959451.000000,250955616.000000,1407099255.000000,265758263.000000,351983025.000000,67001089.000000,161411680.000000,24933636.000000,167412227.000000,1601697792.000000,213057920.000000,42478136.000000,4149667.000000
2012,37748019134.000000,37692707987.000000,4150534126.000000,12030354364.000000,3418461748.000000,3564257660.000000,2591539312.000000,4108283693.000000,256745026.000000,979190340.000000,611602504.000000,1269811265.000000,244691494.000000,1547728175.000000,266432548.000000,365370980.000000,67408157.000000,170112978.000000,26854024.000000,171157218.000000,1634780851.000000,217391524.000000,50279268.000000,5031879.000000
2013,38538649184.000000,38480071142.000000,4287143918.000000,12152565218.000000,3470258885.000000,3687509962.000000,2274870042.000000,4189261868.000000,276937085.000000,995530898.000000,783810890.000000,1355651230.000000,262573295.000000,1593934106.000000,267100467.000000,379018948.000000,72086818.000000,175898548.000000,27293437.000000,172478471.000000,1835817355.000000,220329701.000000,53911607.000000,4666435.000000
2014,40368063075.000000,40308781990.000000,4511799371.000000,12810834067.000000,3584881784.000000,3894109526.000000,2375093926.000000,4342127736.000000,285818888.000000,1048853488.000000,836513936.000000,1401684887.000000,293533011.000000,1589108926.000000,275627491.000000,392511736.000000,79502413.000000,182072837.000000,28598090.000000,174839290.000000,1975413471.000000,225857116.000000,54712453.000000,4568632.000000
