年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,3672.130000,3799.910000,2703.020000,9712.810000,3826.200000,3867.810000,2937.530000,5805.110000,2905.990000,4936.260000,4193.840000,5223.650000,2218.070000,2632.910000,1316.750000,2716.680000,1504.650000,2816.600000,3733.310000,5312.790000,6044.780000,4901.130000,342.450000,254.970000
1999,3707.340000,3941.130000,2765.850000,9717.860000,3866.460000,3935.440000,2931.390000,5820.880000,3026.300000,4772.560000,4176.720000,5254.930000,2218.070000,2724.860000,1346.500000,2717.120000,1500.630000,2830.020000,3695.280000,5388.690000,6209.790000,4907.650000,346.950000,254.870000
2000,3777.460000,3908.250000,2756.980000,9736.850000,3949.580000,4220.880000,3047.890000,5988.370000,3858.280000,4602.710000,4257.710000,5065.590000,2175.590000,2728.130000,1372.900000,2718.400000,1500.910000,2879.340000,3708.180000,5399.050000,6146.070000,4927.540000,361.040000,261.810000
2001,3771.120000,3906.880000,2802.110000,9690.230000,4024.350000,4258.090000,2996.170000,5934.100000,3722.460000,5292.330000,4307.510000,5337.480000,2175.590000,3030.660000,1372.900000,2719.840000,1500.910000,2037.090000,3175.660000,5433.250000,6349.270000,4961.830000,382.010000,301.820000
2002,3769.230000,3903.510000,2787.780000,9719.860000,4027.180000,4248.090000,2897.530000,5943.930000,3778.520000,5292.330000,4054.690000,5526.560000,2175.590000,3030.560000,1458.810000,2719.840000,1485.190000,2178.330000,3175.660000,5477.300000,6456.230000,5092.650000,392.710000,298.820000
2003,3765.600000,3901.440000,2832.540000,9665.710000,4024.970000,4144.870000,2866.030000,5910.930000,3811.780000,5077.750000,4569.000000,5528.730000,2224.890000,3030.510000,1371.480000,2742.060000,1490.940000,2178.330000,3231.370000,5488.380000,6596.200000,5124.720000,408.980000,276.090000
2004,3778.970000,3914.110000,2860.190000,9648.550000,4043.540000,4247.690000,2833.020000,5927.320000,3842.500000,5266.520000,4534.980000,5587.280000,2187.790000,2909.430000,1318.190000,2775.080000,1474.010000,2079.540000,3353.060000,5290.600000,7258.660000,4953.400000,432.280000,293.430000
2005,3819.100000,3957.140000,2931.400000,9622.040000,4117.680000,4283.320000,2857.190000,6085.900000,3790.780000,5139.700000,4583.350000,5690.240000,2243.060000,2856.230000,1325.530000,2762.270000,1470.820000,2047.310000,3081.630000,5241.390000,7006.120000,4978.320000,460.830000,324.340000
2006,3821.630000,3961.170000,2959.180000,9684.490000,4180.260000,4259.850000,2915.680000,5707.200000,3878.590000,5260.520000,4618.840000,5458.850000,2269.270000,2838.280000,1394.000000,3148.540000,1487.060000,2103.990000,2820.590000,5226.160000,7064.180000,4990.460000,489.260000,306.820000
2007,3889.240000,4030.350000,2988.480000,9673.550000,4233.220000,4600.520000,2935.440000,5891.930000,3847.160000,5035.860000,4977.780000,5453.340000,2270.890000,2837.630000,1373.760000,3029.670000,1490.290000,2106.810000,3205.020000,5223.860000,7294.940000,5002.540000,522.060000,311.830000
2008,3888.380000,4028.620000,2950.280000,9650.210000,4337.560000,4601.450000,3052.050000,6001.730000,3903.780000,5109.980000,5005.240000,4768.600000,2259.820000,2960.110000,1356.030000,2830.800000,1465.860000,2105.590000,3442.460000,5204.890000,7421.660000,5016.650000,544.300000,307.470000
2009,3914.470000,4052.280000,2891.570000,9593.200000,4491.560000,4832.980000,3055.950000,6013.350000,3698.830000,5222.150000,4111.640000,5619.330000,2245.460000,2963.370000,1361.260000,2805.830000,1768.710000,2105.230000,3485.810000,5196.080000,7478.030000,5017.890000,606.310000,310.990000
2010,3873.570000,4009.010000,2909.720000,9634.930000,4518.670000,4629.640000,2999.070000,6039.410000,3682.610000,5270.830000,4012.920000,4906.880000,2235.400000,2941.020000,1332.740000,2777.580000,1730.600000,2104.760000,3420.540000,5140.060000,7550.420000,4990.940000,626.640000,313.960000
2011,3935.490000,4071.640000,3041.490000,9753.390000,4576.220000,4685.480000,3029.510000,6041.040000,3920.360000,5356.630000,3932.340000,4860.120000,2221.880000,2972.920000,1336.170000,2949.400000,1730.600000,2034.030000,3357.300000,5083.760000,7661.920000,4975.110000,672.820000,313.960000
2012,3945.150000,4079.800000,2949.800000,9835.280000,4674.830000,4721.180000,3031.580000,5906.130000,4001.330000,5471.910000,4697.300000,5472.870000,2244.500000,2947.820000,1335.920000,2934.640000,1526.060000,1993.080000,3343.300000,5046.640000,7674.320000,4969.500000,727.990000,313.960000
2013,3941.110000,4073.700000,3004.840000,9884.180000,4700.660000,4597.550000,3048.670000,5926.340000,3933.420000,5438.070000,4712.430000,5463.700000,2239.090000,2938.150000,1350.720000,2593.570000,1570.090000,1997.740000,3325.920000,5062.470000,7392.650000,4963.130000,772.590000,343.920000
2014,3884.580000,4013.490000,2984.740000,9942.300000,4727.190000,4226.570000,3049.760000,6002.880000,3883.090000,5246.060000,4812.030000,4859.390000,2234.130000,3166.370000,1198.580000,2620.900000,1646.110000,1868.450000,3338.660000,5037.670000,7588.700000,4963.330000,772.590000,343.920000
