年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,31.914363,31.951911,34.188503,29.972504,35.335710,35.331037,32.425177,33.092072,29.641636,30.001524,29.821384,33.784674,25.821469,28.147089,24.404255,29.316425,20.791527,24.571927,19.398230,32.522478,34.913758,36.398540,25.138889,11.102041
1999,31.456443,31.494847,34.711007,29.990812,33.928471,34.433190,31.579984,32.150242,29.538405,29.750182,28.635127,32.839031,26.211792,27.543356,23.903600,28.471801,21.365604,24.594340,18.831884,32.406615,34.117763,34.766990,24.089385,11.352941
2000,30.843826,30.882886,33.687216,29.876688,33.624125,33.465832,31.075868,31.177395,28.887857,29.420719,28.445039,32.319841,25.024280,27.053111,23.715591,27.942396,20.716981,24.600683,18.360795,31.642384,33.631179,34.082768,23.067416,10.730769
2001,30.480134,30.518128,33.187494,29.713815,33.264550,32.714557,30.764611,31.229042,28.409059,29.046322,27.500570,31.567681,24.521212,26.639165,23.562237,27.649149,21.369615,25.316291,18.188202,30.838235,32.548948,33.943850,22.707865,11.096154
2002,30.120354,30.156713,32.693935,29.389710,32.851681,32.054820,30.697216,31.482270,27.877095,28.398160,27.031818,30.742645,24.501385,26.229197,23.454437,27.049501,21.364865,24.531381,17.823204,30.468124,32.545784,33.258530,22.822222,11.019231
2003,29.887823,29.922646,32.671507,29.353138,32.386249,31.637016,30.255809,31.417745,27.553708,28.387557,26.402459,30.303625,24.229075,25.919393,23.379597,26.932110,21.454955,24.302829,18.284916,30.334254,31.961062,32.745198,22.797814,11.784314
2004,29.686715,29.724438,32.536061,29.068150,32.049902,31.485219,29.939813,31.128829,27.106398,28.488204,25.726004,30.038979,24.294283,25.780789,23.569461,26.994386,21.190745,24.162299,17.807263,30.524715,31.906667,32.820645,21.957219,11.274510
2005,29.247262,29.282880,32.085501,28.448805,31.694558,31.380091,29.273139,30.614091,26.840486,26.368712,25.695602,29.801516,23.666478,25.742665,23.490508,26.551238,20.525000,23.321459,17.139276,30.054475,31.878488,32.734641,22.214286,10.764706
2006,29.001193,29.036972,31.177648,28.140943,31.443850,31.074199,29.420596,30.175408,26.647145,28.258893,25.307827,29.738007,23.663031,25.933852,23.835227,26.181923,20.211429,22.968939,17.028011,29.897614,31.362667,32.416667,22.098361,10.788462
2007,28.450166,28.485191,30.643866,27.666667,30.971205,30.756144,28.684993,29.532502,25.965339,27.725681,24.769593,29.199430,22.997133,25.236817,23.461248,25.552519,18.997773,22.454145,16.977401,29.399594,30.629371,31.793734,22.021622,10.301887
2008,27.666815,27.700230,29.674709,26.738731,30.249731,29.780468,28.108149,28.741408,25.196970,27.199870,24.005935,28.539284,22.217971,24.922401,22.920000,24.793753,18.858960,21.691403,16.615385,28.055324,29.748482,30.925729,21.654054,10.250000
2009,26.789704,26.819807,28.874263,26.062057,29.338897,28.616162,27.285007,27.813614,24.094470,26.524837,23.273874,27.625587,21.430751,24.212734,21.909207,23.767908,18.260768,20.893186,15.803977,27.152688,29.056687,30.070556,21.744565,10.346154
2010,25.911239,25.938663,28.022571,25.352675,28.428859,27.692428,26.270776,26.839688,23.098679,25.707443,22.422544,26.697392,20.544590,23.434479,21.022049,22.945050,17.438453,20.191985,15.343840,25.919868,28.255449,29.180939,21.602151,10.215686
2011,25.126824,25.154784,27.121915,24.938933,27.576881,26.734867,25.349781,26.093968,22.153906,25.071291,21.650270,25.879880,19.874472,22.673562,20.332894,22.212238,16.824582,19.258216,14.801724,25.232690,27.456428,28.460452,20.915344,9.384615
2012,24.350000,24.380000,26.660000,24.890000,26.650000,25.850000,24.240000,25.210000,21.140000,24.400000,20.780000,24.880000,19.150000,21.800000,19.400000,21.320000,15.870000,18.270000,14.280000,24.190000,26.710000,27.330000,20.160000,9.060000
2013,23.740000,23.770000,26.120000,25.000000,25.960000,25.330000,23.470000,24.600000,20.520000,23.650000,20.450000,24.020000,18.280000,20.850000,18.220000,20.400000,15.330000,17.560000,13.570000,23.300000,26.040000,26.370000,19.420000,9.310000
2014,23.390000,23.420000,25.910000,25.490000,25.450000,24.890000,23.120000,24.280000,20.040000,23.430000,20.150000,23.400000,17.710000,20.180000,17.340000,19.830000,14.730000,17.010000,13.100000,22.890000,25.370000,25.800000,18.970000,9.200000
